Station meta-information: 21.10.2025
"dem_status";"station_code";"station_local_code";"station_name";"station_start_date";"station_end_date";"station_latitude_d";"station_latitude_dms";"station_longitude_d";"station_longitude_dms";"station_altitude";"type_of_station";"station_type_of_area";"station_ozone_classification";"station_subcat_rural_background";"network_code";
"M";"DEBB023";"DEBB023";"Senftenberg, 1991-1994";"19910101";"19940331";"51.521547";"+051.31.17";"13.99627";"+013.59.46";"103";"background";"urban";"urban";"unknown";"DE014A";
"M";"DEBB024";"DEBB024";"Senftenberg";"19930101";"20070131";"51.520837";"+051.31.15";"13.999485";"+013.59.58";"103";"background";"urban";"urban";"unknown";"DE014A";
"M";"DEBB026";"DEBB026";"Spremberg-Süd";"19910401";"20100104";"51.559032";"+051.33.32";"14.375659";"+014.22.32";"104";"industrial";"suburban";"suburban";"unknown";"DE014A";
"M";"DEBB027";"DEBB027";"Vetschau";"19910701";"19970331";"51.783315";"+051.46.59";"14.085355";"+014.5.7";"61";"background";"suburban";"suburban";"unknown";"DE014A";
"M";"DEBB028";"DEBB028";"Wittenberge,1993-2002";"19930201";"20021126";"52.99445";"+052.59.40";"11.75953";"+011.45.34";"22";"background";"suburban";"suburban";"unknown";"DE014A";
"M";"DEBB029";"DEBB029";"Schwedt (Oder)";"19930406";"";"53.064262";"+053.3.51";"14.285139";"+014.17.6";"5";"industrial";"suburban";"suburban";"unknown";"DE014A";
"M";"DEBB030";"DEBB030";"Premnitz";"19930419";"20070112";"52.531568";"+052.31.53";"12.341811";"+012.20.30";"30";"industrial";"suburban";"suburban";"unknown";"DE014A";
"M";"DEBB031";"DEBB031";"Königs Wusterhausen,1993-2008";"19930507";"20080317";"52.292254";"+052.17.32";"13.62779";"+013.37.40";"36";"background";"suburban";"suburban";"unknown";"DE014A";
"M";"DEBB032";"DEBB032";"Eisenhüttenstadt";"19930420";"";"52.146264";"+052.8.46";"14.638166";"+014.38.17";"40";"industrial";"suburban";"suburban";"unknown";"DE014A";
"M";"DEBB034";"DEBB034";"Eberswalde";"19931001";"19991007";"52.835065";"+052.50.6";"13.800704";"+013.48.2";"29";"traffic";"suburban";"suburban";"unknown";"DE014A";
"M";"DEBB035";"DEBB035";"Frankfurt (Oder), 1994-1997";"19940329";"19970415";"52.345667";"+052.20.44";"14.544556";"+014.32.40";"52";"background";"urban";"urban";"unknown";"DE014A";
"M";"DEBB036";"DEBB036";"Luckenwalde";"19930612";"20030117";"52.08918";"+052.5.21";"13.171803";"+013.10.18";"48";"background";"suburban";"suburban";"unknown";"DE014A";
"M";"DEBB037";"DEBB037";"Rüdersdorf";"19931015";"19990713";"52.468096";"+052.28.5";"13.792273";"+013.47.32";"48";"background";"suburban";"suburban";"unknown";"DE014A";
